CountyCode;CountyName;MunicipalityCode;MunicipalityCodeOriginal;Name;Latitud;Longitud
1;Stockholm;114;114;Upplands Väsby;59,51;17,92
1;Stockholm;115;115;Vallentuna;59,55;18,11
1;Stockholm;117;117;Österåker;59,48;18,37
1;Stockholm;120;120;Värmdö;59,32;18,54
1;Stockholm;123;123;Järfälla;59,42;17,83
1;Stockholm;125;125;Ekerö;59,31;17,74
1;Stockholm;126;126;Huddinge;59,24;18,01
1;Stockholm;127;127;Botkyrka;59,21;17,85
1;Stockholm;128;128;Salem;59,2;17,76
1;Stockholm;136;136;Haninge;59,14;18,16
1;Stockholm;138;138;Tyresö;59,24;18,25
1;Stockholm;139;139;Upplands-Bro;59,5;17,7
1;Stockholm;140;140;Nykvarn;59,18;17,43
1;Stockholm;160;160;Täby;59,45;18,08
1;Stockholm;162;162;Danderyd;59,4;18,05
1;Stockholm;163;163;Sollentuna;59,44;17,94
1;Stockholm;180;180;Stockholm;59,32;18,01
1;Stockholm;181;181;Södertälje;59,17;17,6
1;Stockholm;182;182;Nacka;59,3;18,21
1;Stockholm;183;183;Sundbyberg;59,37;17,96
1;Stockholm;184;184;Solna;59,36;18
1;Stockholm;186;186;Lidingö;59,36;18,16
1;Stockholm;187;187;Vaxholm;59,41;18,34
1;Stockholm;188;188;Norrtälje;59,82;18,66
1;Stockholm;191;191;Sigtuna;59,62;17,83
1;Stockholm;192;192;Nynäshamn;58,95;17,9
3;Uppsala;305;305;Håbo;59,59;17,52
3;Uppsala;319;319;Älvkarleby;60,61;17,43
3;Uppsala;330;330;Knivsta;59,74;17,81
3;Uppsala;331;331;Heby;60,01;16,97
3;Uppsala;360;360;Tierp;60,36;17,6
3;Uppsala;380;380;Uppsala;59,88;17,64
3;Uppsala;381;381;Enköping;59,65;17,11
3;Uppsala;382;382;Östhammar;60,22;18,23
4;Södermanland;428;428;Vingåker;59,05;15,89
4;Södermanland;461;461;Gnesta;59,06;17,22
4;Södermanland;480;480;Nyköping;58,77;16,95
4;Södermanland;481;481;Oxelösund;58,67;17,1
4;Södermanland;482;482;Flen;59,07;16,63
4;Södermanland;483;483;Katrineholm;59,01;16,22
4;Södermanland;484;484;Eskilstuna;59,36;16,48
4;Södermanland;486;486;Strängnäs;59,34;17,09
4;Södermanland;488;488;Trosa;58,9;17,53
5;Östergötland;509;509;Ödeshög;58,22;14,7
5;Östergötland;512;512;Ydre;57,88;15,21
5;Östergötland;513;513;Kinda;58,02;15,69
5;Östergötland;560;560;Boxholm;58,19;15,08
5;Östergötland;561;561;Åtvidaberg;58,21;16,03
5;Östergötland;562;562;Finspång;58,73;15,77
5;Östergötland;563;563;Valdemarsvik;58,21;16,63
5;Östergötland;580;580;Linköping;58,4;15,62
5;Östergötland;581;581;Norrköping;58,59;16,22
5;Östergötland;582;582;Söderköping;58,44;16,37
5;Östergötland;583;583;Motala;58,55;15,07
5;Östergötland;584;584;Vadstena;58,44;14,86
5;Östergötland;586;586;Mjölby;58,34;15,14
6;Jönköping;604;604;Aneby;57,88;14,79
